0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcNAcOMei,98.86,54.15,70.63,80.78,71.29,60.96,,22.83,175.12,56.01
Expected Calc. Error: 0.24,4.78,3.94,3.86,3.62,3.73,3.69,3.81,2.05,,3.42
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.85,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→4) β-d-GlcNAcv (1→,100.64,55.94,72.83,79.78,75.66,61.07,,23.17,175.43,
Expected Calc. Error: 5.17,4.62,3.75,3.76,3.7,3.6,3.85,3.99,2.05,,
β-d-Galvi (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
→2) α-d-Manvii (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
β-d-GlcNAcviii (1→,100.63,56.29,74.28,70.94,76.79,61.66,,23.18,175.47,
Expected Calc. Error: 1.36,4.55,3.7,3.58,3.46,3.44,3.76,3.92,2.05,,
