Residual,Connection,Atom,Shift
A-L-FUCP2SO3, ,H1,5.4
A-L-FUCP2SO3, ,H2,4.48
A-L-FUCP2SO3, ,H3,4.38
A-L-FUCP2SO3, ,H4,4.03
A-L-FUCP2SO3, ,H5,4.4
A-L-FUCP2SO3, ,H6,1.4
A-L-FUCP2SO34SO3,4,H1,5.38
A-L-FUCP2SO34SO3,4,H2,4.58
A-L-FUCP2SO34SO3,4,H3,4.33
A-L-FUCP2SO34SO3,4,H4,4.98
A-L-FUCP2SO34SO3,4,H5,4.52
A-L-FUCP2SO34SO3,4,H6,1.34
A-L-FUCP2SO3, ,C1,99.1
A-L-FUCP2SO3, ,C2,77.5
A-L-FUCP2SO3, ,C3,68.7
A-L-FUCP2SO3, ,C4,84
A-L-FUCP2SO3, ,C5,69.8
A-L-FUCP2SO3, ,C6,16.8
A-L-FUCP2SO34SO3,4,C1,100.2
A-L-FUCP2SO34SO3,4,C2,76
A-L-FUCP2SO34SO3,4,C3,74.4
A-L-FUCP2SO34SO3,4,C4,81.2
A-L-FUCP2SO34SO3,4,C5,68.9
A-L-FUCP2SO34SO3,4,C6,16.8
