HETATM,Atom_num,Atom_name,Residual_name,Residual_num,x,y,z
HETATM,1,C1,MAN,1,6.924,-4.459,8.295
HETATM,2,C2,MAN,1,6.146,-4.406,9.635
HETATM,3,C3,MAN,1,4.639,-4.691,9.412
HETATM,4,C4,MAN,1,4.029,-3.768,8.334
HETATM,5,C5,MAN,1,4.843,-3.862,7.010
HETATM,6,C6,MAN,1,4.299,-2.886,5.948
HETATM,7,O5,MAN,1,6.277,-3.649,7.270
HETATM,8,OH1,MAN,1,7.019,-5.797,7.833
HETATM,9,OH2,MAN,1,6.316,-3.112,10.221
HETATM,10,OH3,MAN,1,3.918,-4.522,10.624
HETATM,11,OH4,MAN,1,2.670,-4.147,8.112
HETATM,12,O6,MAN,1,3.133,-2.902,5.557
HETATM,13,OH6,MAN,1,5.247,-2.009,5.505
HETATM,14,H1,MAN,1,7.951,-4.075,8.454
HETATM,15,H2,MAN,1,6.552,-5.166,10.330
HETATM,16,H3,MAN,1,4.517,-5.745,9.090
HETATM,17,H4,MAN,1,4.065,-2.725,8.711
HETATM,18,H5,MAN,1,4.708,-4.872,6.582
HETATM,19,HO6,MAN,1,6.066,-2.196,5.974
HETATM,20,HO1,MAN,1,6.113,-6.066,7.673
HETATM,21,HO2,MAN,1,7.214,-3.070,10.556
HETATM,22,HO3,MAN,1,3.017,-4.327,10.346
HETATM,23,HO4,MAN,1,2.374,-3.664,7.328
